user_id	item_id	rating	timestep
1	183	3	1
1	137	3	2
1	20	5	3
1	105	3	4
1	36	4	5
2	2	5	1
2	79	2	2
2	252	4	3
2	163	5	4
2	228	2	5
2	272	3	6
2	85	4	7
3	47	4	1
3	167	5	2
3	36	4	3
3	266	3	4
3	229	5	5
3	32	3	6
3	147	5	7
3	102	4	8
4	52	3	1
4	35	4	2
4	175	5	3
4	64	3	4
4	154	4	5
4	66	5	6
4	192	3	7
4	84	5	8
4	23	4	9
4	251	4	10
4	14	5	11
4	31	5	12
4	269	4	13
4	161	5	14
4	173	4	15
4	234	3	16
4	186	3	17
4	169	4	18
4	172	4	19
4	88	4	20
4	89	3	21
4	239	5	22
4	9	3	23
4	3	5	24
4	45	4	25
4	65	5	26
4	62	5	27
5	18	4	1
5	20	4	2
5	259	5	3
5	196	5	4
5	95	4	5
5	175	5	6
5	194	4	7
5	224	5	8
5	54	5	9
5	265	1	10
5	67	5	11
5	179	3	12
5	101	2	13
5	33	4	14
5	156	5	15
5	187	3	16
5	212	5	17
5	28	5	18
6	56	4	1
6	184	3	2
6	1	5	3
6	137	5	4
6	253	4	5
6	118	4	6
6	111	4	7
6	105	4	8
6	45	4	9
6	202	3	10
6	83	5	11
6	48	5	12
6	109	5	13
6	193	5	14
6	175	5	15
6	213	5	16
6	243	5	17
6	183	4	18
6	220	4	19
6	26	5	20
6	138	5	21
6	42	4	22
6	121	3	23
6	146	4	24
6	44	4	25
6	132	4	26
7	253	5	1
7	37	4	2
7	219	4	3
7	53	4	4
7	176	4	5
7	96	4	6
7	41	2	7
7	30	3	8
7	148	4	9
7	162	5	10
7	208	5	11
7	79	1	12
7	133	4	13
7	38	3	14
7	75	4	15
8	199	4	1
8	255	5	2
8	191	4	3
8	69	3	4
8	12	4	5
8	107	3	6
8	106	4	7
9	48	4	1
9	162	5	2
9	97	5	3
9	66	3	4
9	95	4	5
9	75	5	6
9	271	4	7
9	24	5	8
9	98	3	9
9	40	5	10
9	23	5	11
9	225	5	12
9	150	3	13
9	25	5	14
9	226	5	15
9	237	4	16
9	264	5	17
9	209	5	18
9	181	4	19
9	227	5	20
